Engine_ID,Final_Cycle,Actual_RUL,Predicted_RUL,Alert
1,230,22.0,39.91214,WARNING
2,153,39.0,80.00191,SAFE
3,141,107.0,125.35272,SAFE
4,208,75.0,125.20755,SAFE
5,51,130.0,76.35945,SAFE
6,146,78.0,120.69384,SAFE
7,54,94.0,102.980835,SAFE
8,248,14.0,12.840385,CRITICAL
9,284,99.0,123.51414,SAFE
10,23,130.0,119.28647,SAFE
11,82,130.0,125.98013,SAFE
12,270,7.0,11.8934,CRITICAL
13,227,71.0,72.265335,SAFE
14,102,105.0,85.65431,SAFE
15,168,12.0,27.920713,WARNING
16,240,130.0,126.76967,SAFE
17,334,130.0,101.59868,SAFE
18,247,104.0,113.5338,SAFE
19,24,130.0,126.94107,SAFE
20,115,82.0,82.48457,SAFE
21,202,91.0,124.5219,SAFE
22,158,11.0,13.588463,CRITICAL
23,162,26.0,40.16072,WARNING
24,174,130.0,123.502075,SAFE
25,486,39.0,41.963478,WARNING
26,90,92.0,89.51472,SAFE
27,144,76.0,118.57702,SAFE
28,20,124.0,127.18515,SAFE
29,216,64.0,68.4001,SAFE
30,229,118.0,121.1573,SAFE
31,134,6.0,12.335286,CRITICAL
32,260,22.0,13.457573,CRITICAL
33,107,130.0,126.6797,SAFE
34,361,126.0,82.913864,SAFE
35,278,36.0,24.518702,WARNING
36,159,73.0,76.98871,SAFE
37,345,89.0,67.89346,SAFE
38,125,11.0,19.604212,CRITICAL
39,214,130.0,114.40681,SAFE
40,266,10.0,15.766447,CRITICAL
41,414,97.0,85.71045,SAFE
42,200,30.0,29.059828,WARNING
43,120,42.0,123.933075,SAFE
44,406,60.0,38.509727,WARNING
45,78,85.0,110.78013,SAFE
46,37,130.0,117.67992,SAFE
47,224,34.0,39.262474,WARNING
48,214,45.0,51.848984,SAFE
49,273,24.0,24.154936,WARNING
50,206,86.0,54.28807,SAFE
51,137,119.0,126.5787,SAFE
52,58,130.0,126.8158,SAFE
53,67,130.0,127.339584,SAFE
54,81,130.0,99.194145,SAFE
55,103,130.0,126.58012,SAFE
56,180,67.0,71.5139,SAFE
57,121,97.0,126.07199,SAFE
58,185,8.0,3.1199634,CRITICAL
59,37,130.0,124.90822,SAFE
60,135,130.0,113.895515,SAFE
61,396,51.0,37.37297,WARNING
62,240,33.0,39.084724,WARNING
63,158,130.0,125.98476,SAFE
64,251,46.0,70.28194,SAFE
65,186,12.0,24.765059,WARNING
66,97,130.0,125.921005,SAFE
67,150,46.0,31.909874,WARNING
68,241,46.0,34.9681,WARNING
69,162,12.0,17.583275,CRITICAL
70,190,33.0,32.398743,WARNING
71,292,15.0,26.621483,WARNING
72,118,130.0,125.98302,SAFE
73,149,23.0,41.105698,WARNING
74,223,89.0,100.824524,SAFE
75,203,124.0,123.55258,SAFE
76,48,130.0,125.67235,SAFE
77,108,25.0,97.58938,SAFE
78,106,74.0,72.09568,SAFE
79,184,78.0,98.88403,SAFE
80,112,114.0,116.97704,SAFE
81,60,96.0,110.52948,SAFE
82,146,10.0,25.803244,WARNING
83,274,130.0,116.01115,SAFE
84,88,130.0,126.01849,SAFE
85,174,115.0,91.37207,SAFE
86,254,70.0,59.542084,SAFE
87,167,94.0,125.30654,SAFE
88,140,56.0,68.665085,SAFE
89,285,86.0,79.12979,SAFE
90,118,96.0,57.388092,SAFE
91,144,50.0,53.24858,SAFE
92,116,73.0,110.817444,SAFE
93,200,130.0,127.0882,SAFE
94,105,129.0,125.384125,SAFE
95,110,130.0,122.27202,SAFE
96,123,71.0,98.18754,SAFE
97,51,105.0,126.39649,SAFE
98,82,113.0,120.344864,SAFE
99,237,37.0,42.044685,WARNING
100,196,7.0,11.447196,CRITICAL
101,166,13.0,18.71092,CRITICAL
102,443,22.0,13.309624,CRITICAL
103,145,9.0,18.628353,CRITICAL
104,65,120.0,126.43105,SAFE
105,351,100.0,87.72257,SAFE
106,148,107.0,67.59953,SAFE
107,121,41.0,125.58382,SAFE
108,145,130.0,125.65762,SAFE
109,66,126.0,124.87234,SAFE
110,348,59.0,51.53633,SAFE
111,342,18.0,19.819296,CRITICAL
112,88,66.0,111.801186,SAFE
113,132,13.0,20.202543,WARNING
114,218,14.0,23.671883,WARNING
115,82,130.0,119.744156,SAFE
116,161,13.0,13.715183,CRITICAL
117,97,75.0,120.91878,SAFE
118,178,8.0,9.259932,CRITICAL
119,228,109.0,72.015434,SAFE
120,170,130.0,120.57231,SAFE
121,194,41.0,36.572067,WARNING
122,117,130.0,126.86572,SAFE
123,236,23.0,24.011797,WARNING
124,230,86.0,62.96357,SAFE
125,21,130.0,115.909225,SAFE
126,220,15.0,23.720926,WARNING
127,98,130.0,109.38365,SAFE
128,139,126.0,126.27939,SAFE
129,315,120.0,124.60203,SAFE
130,107,130.0,124.11643,SAFE
131,193,101.0,94.742874,SAFE
132,115,116.0,124.07282,SAFE
133,74,126.0,126.353294,SAFE
134,266,36.0,40.38655,WARNING
135,435,7.0,6.282329,CRITICAL
136,56,122.0,127.10851,SAFE
137,291,130.0,71.19799,SAFE
138,239,88.0,73.65286,SAFE
139,88,130.0,126.0747,SAFE
140,160,130.0,81.28003,SAFE
141,19,130.0,127.775955,SAFE
142,69,108.0,123.09101,SAFE
143,327,53.0,65.712105,SAFE
144,34,130.0,122.22801,SAFE
145,102,59.0,91.17881,SAFE
146,84,100.0,126.5039,SAFE
147,116,56.0,74.88965,SAFE
148,126,130.0,126.82384,SAFE
149,320,76.0,69.49253,SAFE
150,202,57.0,51.40808,SAFE
151,285,31.0,25.59459,WARNING
152,195,88.0,123.62305,SAFE
153,130,130.0,84.45314,SAFE
154,122,34.0,31.63422,WARNING
155,161,7.0,27.860907,WARNING
156,28,130.0,118.127426,SAFE
157,138,130.0,126.440445,SAFE
158,171,6.0,10.01679,CRITICAL
159,160,22.0,19.961332,CRITICAL
160,122,83.0,120.90541,SAFE
161,257,82.0,125.09288,SAFE
162,99,84.0,101.159805,SAFE
163,122,95.0,125.24533,SAFE
164,29,130.0,123.488716,SAFE
165,178,111.0,120.37471,SAFE
166,63,72.0,127.44391,SAFE
167,99,109.0,125.24531,SAFE
168,74,87.0,88.712616,SAFE
169,34,130.0,120.03544,SAFE
170,48,130.0,126.215454,SAFE
171,355,126.0,71.87738,SAFE
172,132,12.0,22.45492,WARNING
173,151,8.0,3.1740165,CRITICAL
174,135,10.0,22.409502,WARNING
175,116,123.0,80.506966,SAFE
176,185,103.0,91.5044,SAFE
177,146,12.0,26.94882,WARNING
178,279,106.0,125.9908,SAFE
179,262,12.0,12.183344,CRITICAL
180,367,32.0,23.180933,WARNING
181,199,37.0,21.300442,WARNING
182,98,116.0,124.57838,SAFE
183,125,15.0,17.933096,CRITICAL
184,154,10.0,9.626801,CRITICAL
185,203,46.0,70.348785,SAFE
186,47,130.0,124.65348,SAFE
187,121,24.0,37.159523,WARNING
188,157,130.0,105.98618,SAFE
189,107,56.0,82.766266,SAFE
190,200,43.0,45.92089,WARNING
191,71,130.0,126.15803,SAFE
192,203,71.0,64.64374,SAFE
193,263,104.0,67.53099,SAFE
194,214,15.0,20.078325,WARNING
195,186,130.0,126.767914,SAFE
196,70,89.0,121.5063,SAFE
197,196,36.0,38.358932,WARNING
198,115,11.0,11.415677,CRITICAL
199,177,92.0,38.464195,WARNING
200,115,96.0,118.252426,SAFE
201,139,59.0,120.02499,SAFE
202,222,13.0,5.8665276,CRITICAL
203,87,130.0,127.06693,SAFE
204,19,130.0,56.167458,SAFE
205,95,130.0,121.70652,SAFE
206,291,109.0,93.34735,SAFE
207,179,116.0,125.69881,SAFE
208,180,91.0,112.995285,SAFE
209,171,11.0,9.151081,CRITICAL
210,135,88.0,124.61082,SAFE
211,206,108.0,126.359344,SAFE
212,261,76.0,58.971893,SAFE
213,288,14.0,9.441931,CRITICAL
214,102,89.0,85.11734,SAFE
215,72,130.0,120.75339,SAFE
216,264,17.0,15.351014,CRITICAL
217,141,66.0,76.38877,SAFE
218,63,130.0,126.44622,SAFE
219,110,41.0,30.256521,WARNING
220,65,130.0,124.56365,SAFE
221,176,73.0,87.82611,SAFE
222,178,39.0,67.16488,SAFE
223,305,58.0,68.55537,SAFE
224,152,14.0,15.065266,CRITICAL
225,39,130.0,126.29984,SAFE
226,59,88.0,126.49751,SAFE
227,62,130.0,127.563156,SAFE
228,126,130.0,127.26735,SAFE
229,20,120.0,125.275375,SAFE
230,157,98.0,95.7776,SAFE
231,230,33.0,29.263704,WARNING
232,370,130.0,124.547,SAFE
233,111,110.0,125.63189,SAFE
234,179,68.0,55.771706,SAFE
235,362,24.0,27.469385,WARNING
236,176,75.0,95.84317,SAFE
237,221,18.0,13.364869,CRITICAL
238,177,16.0,7.622755,CRITICAL
239,28,130.0,125.60602,SAFE
240,204,98.0,33.404854,WARNING
241,42,130.0,87.728775,SAFE
242,112,81.0,106.62131,SAFE
243,199,118.0,125.37202,SAFE
244,184,35.0,38.214302,WARNING
245,63,130.0,125.64786,SAFE
246,29,130.0,126.76437,SAFE
247,94,112.0,124.83153,SAFE
248,281,26.0,32.318344,WARNING
