Engine_ID,Final_Cycle,Actual_RUL,Predicted_RUL,Alert
1,233,44.0,44.657505,WARNING
2,124,51.0,59.37006,SAFE
3,234,27.0,33.229443,WARNING
4,68,120.0,122.083534,SAFE
5,138,101.0,120.32544,SAFE
6,64,99.0,85.41646,SAFE
7,158,71.0,62.578476,SAFE
8,192,55.0,63.300125,SAFE
9,238,55.0,80.42518,SAFE
10,131,66.0,74.42498,SAFE
11,103,77.0,61.91345,SAFE
12,146,115.0,117.02172,SAFE
13,65,115.0,113.2257,SAFE
14,169,31.0,28.151443,WARNING
15,112,108.0,118.70323,SAFE
16,126,56.0,78.91143,SAFE
17,230,125.0,120.554504,SAFE
18,244,125.0,102.75929,SAFE
19,115,85.0,120.66445,SAFE
20,207,56.0,61.41231,SAFE
21,263,18.0,15.515584,CRITICAL
22,119,119.0,121.49349,SAFE
23,405,78.0,79.26606,SAFE
24,475,9.0,10.666375,CRITICAL
25,169,58.0,76.50898,SAFE
26,130,11.0,15.078696,CRITICAL
27,104,88.0,101.43658,SAFE
28,70,125.0,120.58794,SAFE
29,89,124.0,121.07955,SAFE
30,333,89.0,70.79876,SAFE
31,152,79.0,82.333336,SAFE
32,120,55.0,63.904446,SAFE
33,180,71.0,89.87221,SAFE
34,105,65.0,120.89792,SAFE
35,144,87.0,111.477776,SAFE
36,90,125.0,121.55002,SAFE
37,47,125.0,121.98887,SAFE
38,133,22.0,27.897339,WARNING
39,310,8.0,11.733565,CRITICAL
40,313,41.0,44.986458,WARNING
41,101,125.0,121.414024,SAFE
42,87,115.0,122.34189,SAFE
43,133,125.0,119.95927,SAFE
44,146,69.0,54.099392,SAFE
45,88,111.0,121.611534,SAFE
46,180,7.0,8.306797,CRITICAL
47,56,125.0,121.56439,SAFE
48,179,55.0,64.052345,SAFE
49,211,125.0,119.72413,SAFE
50,147,11.0,15.764236,CRITICAL
51,118,78.0,78.7461,SAFE
52,38,120.0,121.65024,SAFE
53,108,87.0,111.90365,SAFE
54,50,87.0,121.43218,SAFE
55,203,55.0,67.855064,SAFE
56,162,93.0,118.53364,SAFE
57,158,88.0,120.90052,SAFE
58,119,40.0,42.595573,WARNING
59,149,49.0,48.25661,WARNING
60,112,125.0,99.036476,SAFE
61,78,125.0,122.02301,SAFE
62,224,58.0,50.63568,SAFE
63,137,117.0,121.57208,SAFE
64,271,28.0,26.394398,WARNING
65,79,115.0,122.2067,SAFE
66,122,87.0,107.59069,SAFE
67,186,92.0,119.41561,SAFE
68,188,103.0,98.9372,SAFE
69,105,100.0,122.00561,SAFE
70,84,63.0,111.48319,SAFE
71,367,35.0,35.059612,WARNING
72,232,45.0,48.991062,WARNING
73,109,99.0,121.710846,SAFE
74,68,117.0,121.914894,SAFE
75,191,45.0,44.405533,WARNING
76,180,27.0,23.640217,WARNING
77,381,86.0,74.38372,SAFE
78,279,20.0,25.066708,WARNING
79,170,18.0,28.145664,WARNING
80,85,125.0,121.91357,SAFE
81,155,15.0,16.0457,CRITICAL
82,194,6.0,7.4175663,CRITICAL
83,168,125.0,121.0191,SAFE
84,76,104.0,119.591896,SAFE
85,118,56.0,91.74673,SAFE
86,174,25.0,23.22551,WARNING
87,218,68.0,67.26196,SAFE
88,41,125.0,122.12069,SAFE
89,120,41.0,41.087467,WARNING
90,206,51.0,50.222775,SAFE
91,56,81.0,79.45994,SAFE
92,266,14.0,15.214778,CRITICAL
93,158,67.0,64.68343,SAFE
94,333,10.0,7.8946667,CRITICAL
95,213,125.0,95.68508,SAFE
96,358,113.0,73.60471,SAFE
97,95,123.0,122.15922,SAFE
98,182,17.0,15.959704,CRITICAL
99,289,8.0,10.418503,CRITICAL
100,247,28.0,21.119438,WARNING
